Body,Class
maintains continuous supply local market nonstop optimum production galle puttalam cement plant import terminal colombo port insee cement sri lankas local cement manufacturer continues supply range retail industrial cement product market geared production full capacity reduce currently experiencing product shortage country result several cement importer refusing meet demand along recent depreciation lkr cement importer refused release good based increased import cost creating artificial scarcity market currently running million ton full production capacity insee cement stepping express logistics delivery channel bulk carrier fleet ensure recovering local construction industry needlessly negatively impacted potential shortage cement listed essential commodity fixed mrp insee cement especially focussing serving critical infrastructure project government institution central expressway irrigation project rda uda bmcnhda enable progress project planned also supported parent company providing uninterrupted material supply,business
colombo stock exchange cse stockbroker firm staff security exchange commission sri lanka sec collaborated recently community engagement project focused donating r million worth covid related medical equipment hospital around country capital market donation drive successful meeting vital equipment supply need district general hospital avissawella district general hospital mannar district general hospital polonnaruwa homagama base hospital kinniya base hospital north colombo teaching hospital teaching hospital karapitiya teaching hospital mahamodara national hospital weligama divisional hospital initiative made donation multiparameter monitor syringe pump highflow nasal oxygen therapy device cpap machine ecg machine oxygen concentrators piped medical gas system nonrebreather mask personal protective equipment consumables participating stockbroker firm include acuity stockbroker pvt ltd asha security limited asia security pvt ltd bartleet religare security pvt ltd ctclsa security pvt ltd candor equity ltd capital alliance security pvt ltd capital trust security pvt ltd enterprise ceylon capital pvt ltd first capital equity pvt ltd first guardian equity pvt ltd jb security pvt ltd lolc security ltd lanka security pvt ltd ndb security private ltd nation lanka equity pvt ltd c security pvt ltd softlogic stockbroker pvt ltd taprobane security pvt ltd,business
manufacturing pmi increased july recording index value increase index point compared june mainly attributable increase observed new order production employment stock purchase subindices significant increase new order production employment stock purchase subindices particularly manufacture textile wearing apparel food beverage sector mainly contributed considerable improvement pmi respondent sector highlighted received higher export order especially europe gradual normalization economic activity resumed new recruitment expectation future demand following progress covid vaccination programme meanwhile stock purchase subindex increased line expansion new order production supplier delivery time continued lengthen july many respondent stressed delay opening letter credit delay settlement foreign payment affect adversely supply chain importing raw material caused disturbance production schedule manufacturer cautioned uncertainty rapid spread covid virus would hamper manufacturing activity country accordingly overall expectation manufacturing activity next three month deteriorated significantly compared previous month yet remained neutral threshold signaling expansion service activity service pmi increased index value july increase driven increase new business business activity backlog work expectation activity new business increased july compared june improvement observed financial service insurance transportation telecommunication real estate subsectors business activity across subsectors increased july line relaxation travel restriction accordingly financial service subsector reported huge improvement month transportation subsector also saw considerable progress growth observed passenger transportation freight volume human health insurance telecommunication subsectors also improved month meanwhile wholesale retail trade personal activity subsectors also reported positive development owing recommencement business operation recovery demand following gradual normalization economic activity employment continued fall slower pace retirement resignation exceeded number recruitment carried month backlog work increased yet slower pace july expectation business activity next three month continued increase july gradual normalization economic activity however expectation respondent rather pessimistic per fast spread third wave covid import restriction delay opening letter credit increase input cost,business
posting steady performance orient finance plc recorded profit tax lkr mn first quarter financial year indicating growth per cent comparison corresponding period previous financial year company net operating income period increased per cent lkr mn lkr mn meanwhile company total asset period stood lkr bn comparison lkr bn recorded corresponding period previous financial year pandemic triggered unprecedented economic social challenge negatively impacted sri lankans responsible corporate entity work achieve business success also assist customer build maintain financial stability prevailing status quo exceptionally challenging u however adopted prudent customer centered approach pursue sustainable growth period result achieved steady growth succeeded helping customer continue build wealth moreover advantageous position part janashakthi group played crucial role retaining stakeholder confidence prevalent pandemic continue pose complex economic challenge remain confident ability pursue sustainable growth create value stakeholder commented anil tittawella chairman orient finance plc orient finance recently celebrated th year since inception illustrating company stability trust garnered year speaking company performance future growth k jabir director chief executive office orient finance plc said step new era celebrating th year trusted reputed financial institution sri lanka first quarter performance give u strength continue pursue longterm growth continue navigate current challenging economic environment market insight exceptional customer care already laid strategic growth objective meet customer expectation achieve lasting success year come,business
stock market trading positive morning session yesterday later investor panicked profittakings noted central bank announced decided increase standing deposit facility rate sdfr standing lending facility rate slfr central bank basis point per cent per cent respectively however towards latter part day cse showed recovery stock market analyst said back bullish market dominated local investor logisticsrich young diversified conglomerate expolanka holding plc yesterday dislodged jkh ceylon tobacco become secondmost valuable listed company sri lanka commercial leasing lolc finance made announcement undisclosed price sensitive information relation company reason unusual trading activity last two day analyst said despite index going yesterday market reported healthy turnover r billion without crossing share price index went point p sl declined point retail market top five company mainly contributed turnover expolanka holding r billion million share traded brown investment r million million share traded lolc finance r million million share traded sierra cable r million million share traded lolc finance r million share traded commercial leasing r million million share traded royal ceramic r million four million share traded day million share volume changed hand transaction major negative contributor share price index nifl negative point lolc negative point expolanka negative point jat holding ltd became jat holding plc listing stock market cse said showcased strong growth trajectory capital raised sri lankan corporates scale first seven month said sri lankan corporates increasingly recognizing exchange platform achieve greater financial freedom improved access capital mean enhancing global profile besides accessing liquidity proving attractive proposition tap global capital date cse facilitated new listing including seven debt ipo value r billion four equity ipo value r billion one spo value r billion highest number equity ipo cse facilitated since largest cumulative value since,business
sri lankas struggling tourism industry receive support launch buy meal initiative take place month british european chamber commerce come together partner buy meal effort scheduled take place today also marked day support hospitality tourism facilitated european chamber commerce eccsl council business britain cbb partnership happening colombo point point consulting event purchasing meal support industry meal snack restaurant hotel caf bakery home bakery dinein takeaway delivery said dougie douglas happening colombo ordering meal today support restaurant waiter delivery people supplier restaurant plan expected increase demand said douglas virtual press briefing today organizer initiative urge including company order meal post social medium picture hashtag everymealhelps support programme planned continued future,business
billionaire businessman dhammika perera entered top shareholder list sri lankas top private sector bank commercial bank ceylon plc first time becoming th largest ordinary voting shareholder quarter ended june year according commercial bank latest quarterly interim financial statement perera owned percent stake million ordinary voting share bank june second quarter two ukbased fund main seller commercial bank share aberdeen standard investment holding asia dragon trust percent stake commercial bank first quarter th largest shareholder didnt appear among top shareholder bank second quarter according latest disclosure fund reduced exposure sri lankan security percent quarter one percent previous year similarly lf ruffer pacific emerging market fund th largest shareholder commercial bank percent stake first quarter year didnt appear among top largest shareholder bank second quarter effectively reducing exposure sri lankan equity percent second quarter percent previous quarter along perera southern provincebased andaradeniya estate pvt ltd controlled dr w jinadasa also appeared among top shareholder bank andaradeniya estate percent stake million ordinary voting share bank june quarter commercial bank share trading r range per share bank share closed r share august percent dfcc bank plc maintained position single largest shareholder commercial bank percent stake followed percent stake held indra trader yshi silva employee provident fund epf percent stake international finance corporation ifc held around percent stake commercial bank altogether including direct holding two fund harry jayawardenacontrolled melstacorp plc maintained position sixth largest shareholder bank percent stake,business
asia siyaka commodity analysed siyaka research said recent report value added export major exporting country worldwide showed sri lanka held slot value added tea export worldwide report said massive value added export percent indicator quantum sri lanka far ahead closest rival india record export value added form value addition included tea exported packet bag instant tea green tea specialty blend shipped bulk form included purpose additionally although value addition information kenya available detail report said kenya comparatively far india reported sri lanka worked hard maintain brand ceylon tea established market include turkey prime destination absorbing ml kg turkey major transit point shipment destination iraq russia china within five leading market absorbing ceylon tea germany usa japan jordan ukrain additional market also described market demanding ceylon tea poland netherlands ireland kuwait australia new zealand within demand cycle ceylon tea destination including june ml kg exported earning export value u million comparing shipment value time u million clearly exported quantity le severe drought condition affecting production quantity exported end year million kg speculation subject growing condition optimum level earnings tea export could achieve national target billion high price ceylon tea colombo auction reason described unique mix taste orthodox style attribute perennially character finished product attracted buyer worldwide demand ceylon tea,business
emirate premier partner official airline expo dubai launched exclusive offer customer experience excitement world expo largestofitskind event region emirate customer visiting dubai travelling dubai anytime muchawaited mega event running october march eligible receive free emirate expo day pas every flight ticket booked emirate special offer valid return ticket include flight dubai travel date october march offer applicable ticket purchased first class business class economy class extends ticket booked emirate flight flydubai customer travelling anywhere emirate global network connection time least six hour dubai oneway ticket holder whose journey originates outside uae entitled receive complimentary expo day pas travelling dubai onwards destination minimum connection time met make deal even sweeter special addedvalue offer applies fare type including special saver flex flex plus information promotion please visit dedicated offer page whether exploring dubai solo family reconnecting family friend never better time visit dubai besides epicentre largest themed event promise bring world one destination visitor dubai sixmonth period expect enjoy host activity special offer celebrate uaes golden jubilee marking th anniversary country formation good news end traveller upcoming travel plan already uae including uae resident pleased know also eligible receive complimentary expo day pas long itinerary includes journey back dubai sixmonth period coincides expo premier partner official airline expo dubai emirate soon launch various expothemed package allow worldwide customer enjoy excitement day event experience host city dubai offer customer also earn skywards mile every minute spent dubai october march existing new emirate skywards member sign programme march avail offer emiratescom earn mile offer applicable emirate flight ticket purchased august march travel expo dubai emiratesmarketed flydubaioperated flight emirate ek flight number included offer expo dubai first world expo ever hosted middle east africa south asia measa region theme connecting mind creating future expo dubai aim inspire people showcasing best example collaboration innovation cooperation around world sustainability mobility opportunity sixmonth spectacular bustling programme packed experience suit age interest including rich lineup themed week entertainment edutainment art culture vulture foodie technology fanatic expect enjoy exhibit workshop performance live show architecture aficionado surrounded inspiring design throughout expo visitor drop national pavilion taste home country pavilion experience culture distinctive offering various thematic special pavilion get glimpse future innovation making difference tomorrow world,business
advantis project engineering pvt limited subsidiary hayleys group purchased million share belonging unisyst engineering plc monetary consideration r million share price r unisyst engineering also one subsidiary company hayleys group transaction internal transfer executed way crossing previous day stock market analyst said apart cse trading activity rebounded strongly yesterday sharp gain index amidst healthy turnover touching r billion beginning trading market witnessed bullish expolanka lolc group counter witnessed strong buying around pm buying interest seen favourite counter therefore investor favourite counter witnessed percent price appreciation main three company witnessed price appreciation expolanka increased price percent r price moved upto r r contribution turnover percent two company reported lolc finance commercial leasing lolc finance share price appreciated percent r price increased r r commercial finance also noticed percent r price increase r r amid development index moved upwards share price index point p sl point turnover stood r billion single crossing crossing reported hayleys plc crossed share tune r million share price traded r meanwhile according jksb trading expolanka amounted total turnover top seven company mainly contributed turnover expolanka holding r billion million share traded brown investment r million million share traded lolcc finance r million million share traded lolc holding r million share traded hayleys fabric r milion million share traded dipped product r million million share traded royal ceramic r million million share traded day million share volume changed hand transaction,business
abans plc reported commendable performance q fy despite pandemicinduced economic slowdown intensified monthlong island wide lockdown abans plc generated revenue r bn q fy r bn q previous year gross profit margin group recorded line budget q fy whilst demonstrating margin contraction compared q last year mainly due change demand product mix company recorded profit tax pbt r bn increase compared r mn recorded q previous year company achieved profit tax pat r mn q fy r mn q previous year recordbreaking pat growth yoy amidst pandemic abans group reported consolidated pat r bn q fy included profit r mn discontinued operation previous year group reported pat r mn q included loss r mn discontinued operation,business
baby cheramy leading baby care brand sri lanka trusted brand generation providing baby care product high quality safety standard latest addition vast range baby cheramy kohomba sandalwood herbal cologne natural extract come surprise parent focus providing best care baby especially first year baby life since crucial term physical emotional development generation parent shown interest using herbal baby care solution baby cheramy brand nearly six decade presence sri lanka loved thousand parent part sri lankan family playing significant role process nurturing little one utmost care brand philosophy committed ensure product formula mild safe reiterating commitment stringent quality safety care little one truly sri lankan brand baby cheramy actively working develop product ingredient strong local relevance connect line recent launch baby cheramy herbal soap range added choice parent providing best precious little one brand herbal soap range includes variant pokuru wada sandun kohomba venival pichcha wadakaha manufactured highest quality standard inspired natural goodness local herb use herbal soap range latest herbal cologne come fresh herbal fragrance help keep mother baby smelling fresh fragrant,business
provide even greater convenience sale service bajaj vehicle owner david pieris motor company pvt ltd recently launched bajajgenuinedpmcocom spare part eshop bajaj genuine part genuine oil purchased online first time sri lanka customer stay safe home save travel time ordering bajaj genuine spare part bajaj genuine oil bajajgenuinedpmcocom getting delivered doorstep relevant garage location selected customer special introductory offer delivery charge waived order made portal designed user friendly platform simple easytouse clearly defined model category make selection relevant spare part quicker intuitive specially curated kit also available ensuring relevant component required replacing specific part missed purchased onego safety customer delivery team ensures strict adherence health guideline issued government prevent spread covid,business
amber skye residency negombo affirms position exceptional unique oceanfront development closing sale le day following sri lankas first ever virtual property launch amber skye residency offer investor lifetime opportunity set root exotic locale hotel road negombo property spoil resident highly attractive blend luxury living leisure far favoured residential customer local investor sri lankan expat amber skye residency host collection spacious one threebedroom apartment price starting r million project slated completion mid offer attractive interest free payment plan spread across three year rapid uptake amber skye foreign investor residential customer even sri lankan expat strong indication immense potential negombo growing leisure residential destination looking blend urban convenience lifestyle amenity privacy tranquil vista indian ocean alongside day entertainment amber skye really living space truly unreal offer seclusion exclusivity location sophisticated architecture blend right natural landscape offering access infinite leisure opportunity luxury oceanfront living best remarked prime group chairman brahmanage premalal apartment penthouse property exquisitely designed maximize natural lighting abundance space enhanced contemporary design meticulous detailing modern feature overlooking crystal blue water indian ocean amber skye offer priceless leisure opportunity located minute away main tourism attraction negombo well bandaranaike international airport along convenient access highway property feature diverse array indulging amenity enhance everyday experience includes concierge service visitor lobby rooftop infinity pool kid pool play area yoga deck large roof terrace observation telescope bbq terrace fitness center rooftop ocean bar meeting center resident also offered driver rest area maid quarter laundry room hour security digital surveillance access control elevator bedroom rentable apartment option come dual key facility allows owner rent two different party studio apartment apartment one bedroom,business
cocacolas journey sri lanka began year ago april consumer tasted first icecold sip cocacola millilitre glass bottle company said anniversary statement establishing footprint sri lanka cocacola invested future business demonstrating longterm commitment adding economic value country cocacola system invested u million sri lanka past two decade created thousand job directly indirectly said evolution year cocacola silently broken new ground impactful environmental social project deliver enduring value nation refreshing community making difference cocacolas vision craft brand cocacola sprite fanta kinley refresh people create sustainable business better shared future make difference people life community planet company continuously evolving cater consumer better providing convenient package innovating introducing new lower nosugar drink said celebrate th anniversary sri lanka cocacola recently took initiative spread positivity day kindness radio campaign reward people need celebrate gone beyond spread kindness compassion recording th year sri lanka posterity local artist commissioned design cocacola bottle three foot tall artist given theme central cocacola complete piece art auctioned charitable cause release said reflecting enriching journey cocacola take pride built close community tie achieving growth expansion beverage portfolio embarking impactful sustainability initiative said give back life campaign cocacola journey towards collecting recycling equivalent every bottle sell achieve pet plastic neutrality sri lanka water stewardship project rehabilitating three ancient water reservoir anuradhapura monaragala company achieved water positivity today country face ongoing challenge covid cocacola committed lkr mn towards covid response pledged lkr mn support frontlines matter crisis nation faced cocacola always endeavoured stand solidarity people sri lanka statement concluded,business
reflecting dfcc bank unparalleled positioning one strongest contender banking financial service sector sri lanka fitch rating affirmed dfcc bank national longterm rating alka addition fitch rating leading provider credit rating commentary research global capital market affirmed bank sri lankan rupee senior unsecured debt alka rating dfccs basel ii basel iiicompliant sri lankan rupee subordinated debt affirmed alka commendable rating driven dfcc bank intrinsic financial strength unwaveringly stood unpredictable time pandemic era acclaimed rating agency note rating awarded dfcc bank highlight modest franchise among domestic commercial bank thinning capital buffer relative industry competition,business
cse trading activity positive throughout yesterday however lower investor participation noted due covid health concern country investor involved trading activity significant buying interest noted end day trading stock market analyst said colombo stock market previous day suffered one steepest fall recent week despite healthy turnover however market witnessed healthy performance reasonable turnover level despite current pandemic situation amid development index positive share price index went point p sl rose point turnover stood r billion sans single crossing retail market seven company mainly contributed turnover renuka capital r million million share traded expolanka holding r million million share traded dipped product r million million share traded sierra cable r million million share traded ambeon capital r million million share traded lolc holding r million share traded ambeon holding r million million share traded day top contributor share price index ambeon capital point commercial leasing finance point lolc finance point day million share volume changed hand transaction said high net worth institutional investor participation noted sunshine holding renuka capital royal ceramic mixed interest observed expolanka holding lolc holding retail interest noted industrial asphalt smb leasing nonvoting brown investment foreign participation market activity remained subdued level foreigner closing net seller meanwhile u dollar selling r rate always fluctuates due volatility market deficit u dollar country,business
strong second quarter loan book crossed milestone r trillion another first local private bank generated noteworthy growth key indicator commercial bank ceylon group six month ended th june comprising sri lankas largest private sector bank subsidiary associate group reported gross income r billion period reflecting growth corresponding six month improvement second quarter group converted first quarter negative growth interest income improvement second quarter end first half interest income r billion increase first half last year interest expense six month r billion group posted net interest income r billion period review achieving growth respectively six month second quarter increase operating income growth lending improvement net fee commission income significant gain component income partly offset substantial growth impairment charge six month reviewed pleased overall result built momentum first quarter improved many core ratio key performance indicator commercial bank chairman justice k sripavan commented commercial bank managing director mr renganathan elaborated bank casa ratio improved end end june also sustained steady improvement capital adequacy ratio nonperforming loan ratio provision cover interest margin grappling challenge posed global pandemic extended fullest support implementation government initiative minimise impact covid business community stabilise economy included providing relief borrower participating saubhagya loan scheme addition implementing bank concessionary lending scheme said believe blueprint achieving wellbalanced growth adverse condition value year ahead particularly encouraged see loan book surpass r trillion making commercial bank first private sector bank sri lanka three key balance sheet indicator exceed r trillion asset crossed threshold deposit achieved mr renganathan added total operating income group six month grew r billion impairment charge provision loss rose r billion consequent management decision make provision prudent basis exposure identified riskelevated industry result net operating income grew r billion operating expense restricted r billion increase group posted operating profit r billion vat financial service six month reflecting robust growth corresponding six month previous year vat financial service increased r billion resulting group achieving profit income tax r billion first half improvement corresponding six month income tax period review amounted r billion result reversal excess provision income tax made due bank provision income tax computed basis rate proposed last government budget effective st january enacted excess provision reversed first quarter advised ca sri lanka consequently commercial bank group posted profit tax r billion six month recording growth growth second quarter alone amounting taken separately commercial bank ceylon plc reported profit tax r billion period growth profit tax r billion improvement total asset group grew r billion six month r trillion th june asset growth preceding month r billion yoy,business
